order_id,time_to_deliver_days,diff_estimated_delivery_days
248ff7b4-1bfa-395f-5ee8-28720889e664,10,-15
2d5cdc85-6665-603f-1580-e3586bde89a5,6,-16
b06112f7-0311-5e6d-92f3-baf4e2458a5a,6,-8
45ac1d4b-2199-93bf-3340-80eac1585166,7,-22
51fc12a7-908e-a200-b269-a6ecfb3e7740,12,-25
c228d309-379c-3ae5-45cc-6ca2d5aae1b2,4,-20
f419e615-bbde-b347-41d4-bdd661ff8599,8,-1
c10ff28c-81d0-b9bd-2a26-5bb0836c8b0c,4,-21
638f7964-3fd5-681c-6e6c-6ef1f1ab700d,17,-14
a094215e-7862-40fc-fefb-83d18036a1cd,11,-3
86e574a0-701d-1559-0bf3-1783bc7de5dc,11,-4
fb9b2930-f4a3-0f96-c7cc-98eaaa85e5f0,23,3
02aec128-4974-4e26-6394-182861265286,12,-15
f11b36b3-bc7b-acf0-6dee-f862ed611f02,7,-8
2c3a5e5f-5bc3-ae78-ed57-48461e62d47d,15,0
4eeecb9e-6575-2502-4b9b-538730c5f974,12,-15
6f954a91-9130-aa1e-8def-4ed1b9fca432,4,-1
56bd4516-3229-b35c-a0ab-490c1e3d3233,14,-6
6bb1e842-418a-ac0c-9c82-0afd3bb63a2d,22,-18
28fa410e-ec23-2354-726a-f94904c6fa9b,20,-10
f93af565-de05-d242-7790-ad8d0368a80e,2,-23
3f3913e8-c7fd-221a-c82a-34ffa20b93ee,10,-7
ed91235f-c082-76ee-d047-0b26a6dbd4a3,20,-7
7107c582-3a58-1db0-314f-8f0fa95f61e7,23,-12
3a830ecb-5338-f0ff-6982-2d388b64822e,22,-5
955ea2e3-1775-92d9-0929-6220d7fcdebd,10,-15
6d231a09-9f98-f5a5-90ad-78db56ae82f1,5,-11
4bb6e6f5-af26-e1f5-951d-934386615406,11,-22
c4d2f075-fc3b-f3a0-6d1e-68e113c35cbd,14,-12
52e54458-28db-681d-83dc-cb33a15ecac4,25,-8
879195f2-460f-97ab-2f3b-f119f2e8638b,20,-6
22ff7c20-6b68-8584-3545-2298296c2fcb,14,-14
ebc8d4b1-3977-4729-1b75-8772e9d87984,13,-11
9f882c1f-904b-7dd1-5657-2ada58d7a7ae,28,-11
5691d720-6935-9cd2-93ac-9a14f1bd5e9b,10,-12
884cb4ce-4a06-390d-3520-6de06f785d13,2,-8
8e9e2a5d-159d-5718-b34b-926a34a0498f,5,-14
c0aa0e99-afe6-f6da-c845-326a854690fd,15,-3
1d251ab9-4983-c4ad-b11e-4b168abb1439,9,-12
d9cfa4b0-f995-deb2-fa97-58d5534e1d13,6,-35
8a49984a-fb76-dae6-6f38-10e1b7093ec4,27,-6
c26b94aa-87e9-5d1c-1eb1-b592f43eb223,11,-9
06ae7271-902b-bb08-7fc0-93137fee6e81,32,-2
8373f5d7-df6d-9249-999f-d38f8513e6d7,11,-8
4570fa83-dbb3-1a56-3e06-db0a554b951e,14,-8
04040ee6-54b2-48cd-c512-a68ecc83e4cc,2,-11
0b584b72-9bdf-ec20-4ec2-aa5d21d6ca56,11,-9
bd2623f3-663c-5daa-3f89-e6b527fd49da,6,-34
343076b6-9aa1-f03e-e4be-b49cf6baee58,7,-20
f04bfdbe-f535-9607-d39e-66fccc9cc0de,9,-12
d74d2985-a4c1-8733-4dc5-9722076a2e5f,16,-11
bd3e89bd-89fa-c476-0b24-4047d795e2fe,4,-22
fb6ba131-bbeb-30fd-6db9-c8900b5c5b92,23,-26
82daed31-f803-50ce-51f5-18369a8d181c,2,-11
4906eead-de5f-70b3-08c2-0c4a8f20be02,32,6
ae17bb94-dfb3-eaf3-96cd-393eace1de80,17,-8
6379750d-ac6a-8a1e-1137-8e34278ae8df,8,-15
7ac1f3de-2cdc-809d-e6aa-1e6719451f53,7,-23
aa466a92-af91-6f9f-68e5-6fce7d3a21b1,8,-28
c619ac0f-9cdc-fceb-dfb9-490451166da4,20,-11
31ef15cb-5a3f-aa4d-f17e-96b09cd8c1a1,12,-11
dc400373-e624-e9b0-4358-47a79813c658,6,-10
09d3f9f1-be63-c067-456c-c619076685a1,6,-15
e3a83a19-707a-6f27-e4fd-e8d6b13d43f4,8,-10
7d2286ec-219f-5802-3352-077d938dee48,2,-4
ec1fc57b-72a7-bbe5-b32f-9c606510db76,16,-21
16c24987-7240-18f7-3b74-6aacfbb5f8e8,27,7
75f433fd-5ff6-2807-235c-b08b520c3c49,10,-10
bca3dc20-a3ec-0226-1c5b-17dc270e9e65,30,-1
bbd64b01-9b5e-a3ed-83a1-14cc665328ff,3,-10
74c951ce-0835-b274-1d30-14321ae9c480,2,-2
4e2160ff-7a61-b2bf-4fbd-2e527ea924d3,13,-12
b75b4f6e-7c5f-e3fa-0570-7992a88d9d38,8,-6
6f841dde-9472-7854-eaff-3f66432c80ea,25,-9
